url,name,website,socials,email,address,contact,description,years_active,staff,awards
https://architectdirectory.co.uk/practice/3d-reid,3D Reid,http://www.3dreid.com,"[""https://twitter.com/@3_D_Reid"", ""https://instagram.com/3dreid_london""]",,,,"Our reputation has been built upon providing creative and intelligent architectural solutions that meet their operational brief without compromise. We seek to be proud of everything we do, from concept to delivery. The success of our practice and the quality of our projects rely solely on the quality of the people we employ. We encourage our people to move across the organisation, work with different colleagues on different projects and share knowledge, resources and ideas. We believe this improves our skills and expertise and enriches the work we produce for our clients. Everybody at 3DReid is here because they are exceptionally good at what they do. We believe in sincerity, openness and opportunity. We encourage all our people to learn, grow and develop with us. Above all we enjoy the process of making good architecture. Addresses 1 Hills Place, London, W1F 7SA 103 Colmore Row, Birmingham, B3 3AG 36 North Castle Street, Edinburgh, EH2 3BN 45 West Nile Street, Glasgow, G1 2PT 26 Cross Street, Manchester, M2 7AQ Contact Mark Taylor Twitter @3_D_Reid Instagram 3dreid_london",41,20 - 125,[]
https://architectdirectory.co.uk/practice/3dr-architects,3Dr Architects,http://www.3drarchitects.co.uk/,[],jon.hughes@3drarchitects.co.uk,"15 Emmbrook Road, Wokingham, RG41 1HE",Jonathan Hughes,"3DR Architects Ltd was founded in 2010 by Jonathan Hughes, the Director and sole practitioner of the Company. Since the Company was started over 200 extensions and numerous individual houses have been completed, or are at varying stages of development. Jonathan Hughes is a fully qualified RIBA registered Architect with over 20 years post qualification experience. Address 15 Emmbrook Road, Wokingham, RG41 1HE Contact Jonathan Hughes",13,0 - 4,[]
https://architectdirectory.co.uk/practice/3hw-architecture-and-design,3Hw Architecture And Design,http://www.3hwarchitecture.com/,[],info@3hwarchitecture.com,"74 Hawkins Way, Helston, TR13 8FQ",Michael Hockaday,"We are an architect's practice based in Helston, Cornwall with many years' experience. The range of projects that we have worked on is extensive, giving us an understanding of both modern and traditional design. This wealth of experience allows us to create excellent, forward-thinking designs, which are tailored to meet your needs whilst also being sympathetic to the locality. It also enables us to evaluate the best methods of construction for your project, whilst keeping to our vision of delivering excellent, sustainable design solutions on time and on budget. Address 74 Hawkins Way, Helston, TR13 8FQ Contact Michael Hockaday",11,0 - 4,[]
https://architectdirectory.co.uk/practice/3s-architects-and-designers,3S Architects And Designers,https://www.3s-ad.com/,"[""https://twitter.com/@3s_architects"", ""https://instagram.com/3s_architects""]",info@3s-ad.com,"63F Sandycombe Road, Twickenham, TW9 2EP",Reinhard Weiss,"3s architects are a RIBA chartered practice with offices in southwest london and munich, germany, working on projects in the united kingdom and around the world. we are a design-led team of dedicated architects and interior designers providing a personalised service and professional approach for private and commercial residential clients which produced a number of award winning projects. we thrive in working with you to create stunning homes and developments with a high level of detail and superior choice of materials. we make designing and building an experience to enjoy. Address 63F Sandycombe Road, Twickenham, TW9 2EP Contact Reinhard Weiss Twitter @3s_architects Instagram 3s_architects",20,0 - 4,[]
https://architectdirectory.co.uk/practice/3w-architecture,3W Architecture,http://www.3w.org,"[""https://instagram.com/3warchitecture""]",mail@3w.org,"Barley Mow Centre, 10 Barley Mow Passage, London, W4 4PH",Stuart Walker,"3WA is an award-winning, design-led, RIBA chartered architectural practice with studios in London. 3WA’s projects are informed by a sensitive approach to place, as well as the appropriate use of materials, construction principles and technology. We have a concern for all aspects of sustainability and aspire to create a design-led architecture that is contemporary and rooted in its context. The practice has extensive experience of varying sectors including residential, sheltered housing, social housing, commercial office, education, retail and leisure. 3WA has a proven track record of delivering projects of all sizes and at every stage from feasibility through to completion. We offer responsive and creative design, developed through close client relationships, to create appropriate modern and cost effective solutions. 3WA has enjoyed great success in many design competitions and uses these as ways of developing, exploring and testing design concepts. Address Barley Mow Centre, 10 Barley Mow Passage, London, W4 4PH Contact Stuart Walker Instagram 3warchitecture",25,0 - 4,[]
https://architectdirectory.co.uk/practice/4d-studio,4D Studio,https://www.4d-studio.co.uk/,[],rosie@architect.uk.com,"Bedford House, Fulham Green, 69-79 Fulham High Street, London, SW6 3JW",John Muir,"4D Studio refers to the importance of the fourth dimension or “spacetime,” combining the three spatial dimensions with time as the fourth dimension. Time adds an extra axis that represents the spacial and temporal dimensions of human interference in complex ecosystems. We are three-dimensional beings but we must as architects imagine changes over time. We are one of the United Kingdom’s leading architectural firms, with over 25 years of award-winning work. Every day we create architectural quality based on innovation, experience and human values. This assures sustainable and aesthetic solutions with lasting value for clients, occupants and society. Address Bedford House, Fulham Green, 69-79 Fulham High Street, London, SW6 3JW Contact John Muir",25,5 - 19,[]
https://architectdirectory.co.uk/practice/50-degrees-north-architects,50 Degrees North Architects,https://www.50degrees.co.uk/,[],info@50degrees.co.uk,"Old Deer Park, Kew Road, Richmond, TW9 2AZ",Leigh Bowen,"Every project we undertake is tailored; each working relationship begins with a meeting where we simply listen to your needs. It’s this hands-on approach which has forged many successful partnerships over the years. We truly believe that this critical stage of our process delivers the best outcome possible. Since day one, we’ve focused on residential architecture. We’ve been lucky enough to work on many interesting projects along the way! From heritage buildings to new developments, our portfolio is varied. Our commitment to designing inspiring homes has never wavered. Address Old Deer Park, Kew Road, Richmond, TW9 2AZ Contact Leigh Bowen",17,0 - 4,[]
https://architectdirectory.co.uk/practice/51-architecture,51 Architecture,https://www.51architecture.com/,"[""https://twitter.com/@51architecture"", ""https://instagram.com/51architecture""]",info@51architecture.com,"1a Cobham Mews, London, NW1 9SB",Catherine du Toit,"Our technical, ethical and aesthetic solutions maximise a site’s natural heritage and social environment to create enduring buildings and landscapes. 51 architecture’s award-winning urban interventions, private houses, community spaces and public exhibitions at home and abroad are distinguished by the efficiency and durability of their workings and the calm beauty of their forms and finishes. “We work with what’s already there: structures, materials, human activity, the weather. This is the most basic principle of responsible 21st-century design and the source of much of our creativity.” Address 1a Cobham Mews, London, NW1 9SB Contact Catherine du Toit Twitter @51architecture Instagram 51architecture",25,0 - 4,[]
https://architectdirectory.co.uk/practice/5d-architects,5D Architects,http://www.5darchitects.com/index.html,[],geoff@5darchitects.com,"764 Finchley Road, London, NW11 7TH",Geoffrey Prentice,"At the outset, the overall concept will be discussed at length with the client and ideas exchanged. Geoffrey will then interpret the clients’ requirements and offer a service where a variety of designs and layouts are discussed at length in order to achieve the desired home the client is seeking. Advice will be given regarding costs, and the need for other specialists to join the team, in order to deliver the successful outcome. Geoffrey will maintain contact throughout the project and offer a personal service that reassures the clients. Address 764 Finchley Road, London, NW11 7TH Contact Geoffrey Prentice",12,0 - 4,[]
https://architectdirectory.co.uk/practice/5plus-architects,5Plus Architects,http://5plusarchitects.com/,"[""https://twitter.com/@5plusarch"", ""https://instagram.com/5plusarchitects""]",london@5plusarchitects.com,"LG9 The Leather Market, Weston Street, London, SE1 3ER",David King-Smith,"We are a creative, award winning, design studio operating as one practice across studios in London and Manchester. We deliver the core services of architecture, masterplanning, urban design, interiors, graphics and branding across a range of sectors. We are founded on collaborative principles. We have been recognised with multiple awards for our design-led solutions that are both functional and commercial and highly specific to clients’ needs. Address LG9 The Leather Market, Weston Street, London, SE1 3ER Contact David King-Smith Twitter @5plusarch Instagram 5plusarchitects",10,20 - 125,[]
https://architectdirectory.co.uk/practice/5th-studio,5Th Studio,http://www.5thstudio.co.uk,"[""https://twitter.com/@5th_Studio"", ""https://instagram.com/5thstudioarchitects""]",mail@5thstudio.co.uk,,Tom Holbrook,"5th Studio is a unique spatial design agency, working across the fields of architecture, urban design, infrastructure and landscape. We work with our clients and commissioners to create beauty and enduring value from complex situations. 5th Studio is a Certified B Corporation: we’re counted among businesses that are leading a global movement for an inclusive, equitable, and regenerative economy. We apply our spatial intelligence to a broad spectrum — from delivering buildings through to research and strategy. We strive to be visionary, innovative and persuasive, and in all our projects we commit to successful outcomes beyond the traditional role of a designer: leading the team, transforming risk into opportunity, raising profile and clearly articulating the objectives of a project. 5th Studio offers bespoke services, tailored to the particular needs of clients and projects — we are a rigorous, can-do organisation ready to take on any challenge. Addresses London Studio Unit 14, 21 Wren Street, London, WC1X 0HF Cambridge Studio Darkroom, Unit 8, Dales Brewery, Gwydir Street, Cambridge, CB1 2LJ Oxford Studio 4 Hill Top Road, Oxford, OX4 1PB Contact Tom Holbrook Twitter @5th_Studio Instagram 5thstudioarchitects",27,5 - 19,[]
https://architectdirectory.co.uk/practice/6a-architects,6A Architects,http://www.6a.co.uk,[],post@6a.co.uk,"Rapier House, 40 Lambs Conduit Street, London, WC1N 3LJ",Tom Emerson,"6a architects was founded by Tom Emerson and Stephanie Macdonald in 2001. The practice is best known for its contemporary art galleries, educational buildings, artists’ studios and residential projects, often in sensitive historic environments. Address Rapier House, 40 Lambs Conduit Street, London, WC1N 3LJ Contact Tom Emerson",19,20 - 125,[]
https://architectdirectory.co.uk/practice/7n-architects,7N Architects,http://www.7narchitects.com/,[],info@7narchitects.com,"7 Randolph Place, Edinburgh, EH3 7TE",Ewan Anderson,"7N Architects bring an integrated approach to placemaking. We specialise in generating innovative ideas that deliver simple solutions to complex problems and focus on delivering transformational change by unlocking the full potential of buildings, places and spaces. Address 7 Randolph Place, Edinburgh, EH3 7TE Contact Ewan Anderson",14,20 - 125,[]
https://architectdirectory.co.uk/practice/a-and-g-architects,A And G Architects,http://www.aandgarchitects.com/,[],email@aandgarchitects.com,,Alan Filby,"We have a distinguished track record for creating innovative buildings that demonstrate imaginative, sustainable and sensitive design - delivering great value for both clients and end users. A+G offer a range of architectural services and undertake projects across all construction sectors including residential, commercial, community, heritage, and leisure. The practice has extensive experience and a particular expertise in the design of educational buildings; from pre-schools through to universities and including bespoke SEN schools for which we have won a number of awards. Addresses 11 Leicester Road, Loughborough, LE11 2AE Bury Knowle Coach House, North Place, Headington, Oxford, OX3 9HY Bramble Cottage, St Andrews Lane, Congham, King's Lynn, PE32 1DS Contact Alan Filby",89,0 - 4,[]
https://architectdirectory.co.uk/practice/a-and-j-architects,A And J Architects,https://www.aj-architects.com/,[],mail@aj-architects.co.uk,"Ardncaree, School Lane, Collingham, Wetherby, LS22 5BD",Joanna Parascandolo,"A + J Architects were formed in 2000 by Tony and Jo Parascandolo. Tony and Jo met at Birmingham School of Architecture and continue to enjoy architecture together! A great excuse for travel. The practice has worked in numerous sectors with an emphasis on designing and delivering high quality buildings. Our offices are based in Collingham, near Wetherby, and our work is based primarily throughout the North of England and the Midlands but we can work anywhere! Address Ardncaree, School Lane, Collingham, Wetherby, LS22 5BD Contact Joanna Parascandolo",23,0 - 4,[]
https://architectdirectory.co.uk/practice/a-d-practice,A D Practice,https://www.adpractice.co.uk/,[],enq@adpractice.co.uk,"2 Mill Walk, Wheathampstead, AL4 8DT",Heather McNeill,"An award-winning architectural practice, we pride ourselves on the diverse skills that our office can offer. As a chartered practice, our team of highly skilled professionals will be with you every step of the way from the initial sketch scheme to the handover of your completed project. Nestled in the leafy Hertfordshire village of Wheathampstead, our specialism is sustainable architecture: from improving the energy efficiency and comfort of your existing home to meeting certified Passivhaus standards. It’s a holistic approach. Grounded in nature, our buildings are designed with your comfort, health and well-being at the forefront whilst doing our bit to look after the planet. Address 2 Mill Walk, Wheathampstead, AL4 8DT Contact Heather McNeill",31,0 - 4,[]
https://architectdirectory.co.uk/practice/a-m-meri-architects,A M Meri Architects,https://ammeriarchitects.co.uk,"[""https://instagram.com/ammeriarchitects""]",am@meriarchitects.com,"Maple House, 382 Kenton Road, London, HA3 9DP",Abebaw Meri,"We make it our aim when working on your project to meet all of your desired requirements. Whether you wish to have domestic, commercial or industrial buildings. We work to your brief and achieve a practical and pleasant environment that meets all your needs. We are proud to be accredited by the RIBA Chartered Practice so that you can instil your trust in our work. You can be sure that we follow all of the regulations set in place and work to the highest standards required by law. We are constantly improving our skills to create better working relationships with all of our clients by maintaining better communication during our design process. Address Maple House, 382 Kenton Road, London, HA3 9DP Contact Abebaw Meri Instagram ammeriarchitects",13,0 - 4,[]
https://architectdirectory.co.uk/practice/a-small-studio-ltd,A Small Studio Ltd,https://asmallstudio.co.uk/,"[""https://twitter.com/@A_Small_Studio"", ""https://instagram.com/a_small_studio""]",ask@asmallstudio.co.uk,"6 Norwood High Street, London, SE27 9NS",Helena Rivera,"A Small Studio is an architecture practice specialising in site-specific and responsive projects that are thoughtfully designed. The studio was longlisted by Dezeen as ‘Emerging Architect of the Year’ in 2020 and selected by the Architecture Foundation as part of their ‘New Architects 4’ series in 2021. A Small Studio works in community engagement, urban research, landscape and architectural projects that respond creatively to their context. The studio has a commitment to design, detailing, materiality, and wellbeing- of both its studio members and the stakeholders it engages with. Being small means the studio is flexible and its ethos is to focus more on quality than on growth. Address 6 Norwood High Street, London, SE27 9NS Contact Helena Rivera Twitter @A_Small_Studio Instagram a_small_studio",9,0 - 4,[]
https://architectdirectory.co.uk/practice/a-squared-architects,A Squared Architects,http://www.asquaredarchitects.com/,[],mail@asquaredarchitects.com,"1 Netherconesford, 93-95 King Street, Norwich, NR1 1PW",Mark Ashurst,"A Squared Architects is a collaborative studio based practice focussed on a shared ambition of delivering quality design solutions on time and on budget. Address 1 Netherconesford, 93-95 King Street, Norwich, NR1 1PW Contact Mark Ashurst",17,0 - 4,[]
https://architectdirectory.co.uk/practice/a-think-architects,A Think Architects,https://www.athink.co.uk/,[],,"Flat 12, 2 Alderson Grove, Hersham, K12 5EG",,"We are a team of architects, working with Homeowners and Property Developers to give shape to your thoughts and needs in the most creative way! Our team can manage every aspect of the process, from feasibility studies and concept design, planning drawings and planning applications, construction drawings and contract administration. Address Flat 12, 2 Alderson Grove, Hersham, K12 5EG",5,5 - 19,[]
https://architectdirectory.co.uk/practice/a-zero-architects,A Zero Architects,https://www.a-zero.co.uk/,"[""https://twitter.com/@a_zeroarchitect"", ""https://instagram.com/a_zero_architects""]",hello@a-zero.co.uk,"8A Peacock Yard, London, SE17 3LH",Giles Bruce,"Our projects range from ultra-low-energy residential new build and refurbishment, mixed-use developments, and community centres. We feel performance should be fundamental to design – not an afterthought. We ask questions about environment and impact. When does the sun shine in a window? Where do our materials come from,? How much energy do our buildings consume? We guide projects from the first feasibility questions to the final completion, developing conceptual design solutions and exceptional technical detailing to ensure that our buildings perform to their design standards, require little maintenance and are a pleasure to use. Founded in 2010, we aim to create projects which are both responsive and responsible. By responsive we mean approaching each design exercise as a collaborative effort, one that demands an intimate understanding of both Client and Brief before the design process can begin. By responsible, we mean designing and procuring our buildings in a way which does not have an adverse impact on the environment. Address 8A Peacock Yard, London, SE17 3LH Contact Giles Bruce Twitter @a_zeroarchitect Instagram a_zero_architects",10,0 - 4,[]
https://architectdirectory.co.uk/practice/a2d-architecture,A2D Architecture,http://www.a2d.info/,[],info@a2d.info,"2 Webbs Cout, Buckhurst Avenue, Sevenoaks, TN13 1LZ",Olivia Maddison,"a2d architecture is a team of dedicated architects and designers whose ethos is to deliver fine architecture and design that responds to our clients brief and is executed with the highest level of attention to detail. Address 2 Webbs Cout, Buckhurst Avenue, Sevenoaks, TN13 1LZ Contact Olivia Maddison",18,5 - 19,[]
https://architectdirectory.co.uk/practice/a9-architects,A9 Architects,https://www.a9architects.com/,"[""https://twitter.com/@a9architectsltd"", ""https://instagram.com/a9architects""]",info@a9architects.com,,Alan Green,"Every space has its own purpose. Our task is to understand, see and implement it. A9 Architects is an architectural and design Bureau that reveals new facets of the minimalist philosophy to the world. Addresses 9 Fishers Lane, London, W4 1RX 255 London Road, Hadleigh, SS7 2BN Contact Alan Green Twitter @a9architectsltd Instagram a9architects",,0 - 4,[]
https://architectdirectory.co.uk/practice/aab-architects,Aab Architects,https://www.aabarchitects.co.uk/,"[""https://instagram.com/aabarchitecture""]",mail@aabarchitects.co.uk,"Studio 9, Bickerton House, 25 Bickerton Road, London, N19 5JT",Alice Brown,"At AAB architects our practice ethos stems from the following values: 01 Community & Social Engagement – Through working closely with charities, community groups, local authorities and schools, AAB are primarily focused on creating better places and buildings for our communities, engaging with real issues that have positive social, economic and cultural value. 02 Historical & Contextual Understanding – Our interest and continual research into the evolution of buildings and places feeds into an on- going pool of knowledge that actively contributes to our architectural design and practice. 03 Low Impact – We aspire to provide affordable and durable buildings. To achieve this we adopt a rigorous approach to design, coupled with extensive experience in construction and management. We re-use, repair and conserve where possible. We enjoy positive working relationships with clients and consultants, in order to achieve the best quality for all budgets. Our projects range widely in scale, but all share a sensitive response to context and need. Address Studio 9, Bickerton House, 25 Bickerton Road, London, N19 5JT Contact Alice Brown Instagram aabarchitecture",20,0 - 4,[]
https://architectdirectory.co.uk/practice/aaron-chetwynd-architect-studio,Aaron Chetwynd Architect Studio,http://www.aaronchetwynd.com/,[],enquiry@aaronchetwynd.com,"3 New Stables, Ingestre, Stafford, ST18 0RE",Aaron Chetwynd,"Aaron Chetwynd Architect Studio offers a wide range of professional services with an experienced team expert at developing and delivering your project. We tailor our services to suit your project and budget. We’re a Chartered Architectural practice and member of the RIBA. Our skilled team specialises in contemporary architecture with an edge in conservation areas and listed buildings. We have the ability to work alongside each client to develop exciting and elegant proposals. The practice is committed to making a positive advancement in sustainable design. Address 3 New Stables, Ingestre, Stafford, ST18 0RE Contact Aaron Chetwynd",13,0 - 4,[]
https://architectdirectory.co.uk/practice/aaron-evans-architects,Aaron Evans Architects,https://www.aaronevans.com/,[],enquiries@aaronevans.com,"3 Gay Street, Bath, BA1 2PH",Kevin Murphy,"Established in 1978, Aaron Evans Architects Ltd is celebrating over 40 years as an award winning RIBA Chartered Practice based in the World Heritage City of Bath. The practice is renowned for delivering imaginative, sustainable and financially viable solutions to difficult design and planning issues and projects in challenging and sensitive situations both in the South West and throughout the UK. Address 3 Gay Street, Bath, BA1 2PH Contact Kevin Murphy",40,5 - 19,[]
https://architectdirectory.co.uk/practice/aarons-otiv,Aarons Otiv,https://www.aaronsotiv.com/,"[""https://instagram.com/alexotiv""]",info@aaronsotiv.com,"Leyton, E10 5EQ",Alex Otiv,"We focus on the creation of efficient and beautiful houses for unusual pieces of land. In addition we undertake projects of various scales to alter and expand existing homes for a range of private clients. Address Leyton, E10 5EQ Contact Alex Otiv Instagram alexotiv",5,0 - 4,[]
https://architectdirectory.co.uk/practice/aava,Aava,https://www.aava.org.uk/,"[""https://instagram.com/aava.architects""]",alistair@aava.org.uk,,Oliver Jackson,"We are a client focused and design led architecture and interiors company, committed to creating sustainable spaces and places that exceed client expectations. AAVA Architects was founded in 2007 and the studio is led by Oliver Jackson and Alistair Reid. In that time we have collaborated with clients to deliver ambitious projects and continue to provide a tailored architectural service in the residential and commercial sectors. We pride ourselves on excellent relationships with clients and work closely with our network of design team professionals and consultants to ensure the process of realising your project is as enjoyable as it is rewarding. We oversee projects from inception to completion including the appointment of skilled contractors required to deliver the highest quality of workmanship for our clients. Addresses 29 Lilian Close, London, N16 0SG Lifework Communities, Winsley, Bath, BA15 2JB Contact Oliver Jackson Instagram aava.architects",14,0 - 4,[]
https://architectdirectory.co.uk/practice/ab-architects,Ab Architects,https://www.architectsab.com/,[],office@architectsab.com,"167-169 Great Portland Street, 5th Floor, London, W1W 5PF",Alessandro Bigolin,"We approach each project with a keen eye for potential, using our expertise to discover unanticipated possibilities both in the environment and the client's brief. Address 167-169 Great Portland Street, 5th Floor, London, W1W 5PF Contact Alessandro Bigolin",8,0 - 4,[]
https://architectdirectory.co.uk/practice/ab-rogers-design,Ab Rogers Design,http://www.abrogers.com,"[""https://twitter.com/@AbRogersDesign"", ""https://instagram.com/abrogersdesign""]",info@abrogers.com,"Lime Wharf, Vyner Street, London, E2 9DJ",Ab Rogers,"Ab Rogers Design (ARD) is a studio that believes in design and architecture that inspires and animates the user through colour, movement and touch; in active environments that are as entertaining and poetic as they are pragmatic and functional. With offices in London and Melbourne, the practice works internationally across the cultural, hospitality, residential and commercial sectors. Working with a diverse range of clients, contracts, budgets and timelines has instilled great sensitivity and rigour in our approach, while at the heart of all our work and common to all projects is a desire to innovate while meeting the requirements of the brief. The studio’s creative abilities are the product of a broad skill base that has evolved over time to bring many ground-breaking projects to fruition – from the Comme des Garçons store in Paris to micro-living solutions for students in Melbourne. The full time staff includes architects, interior, industrial, furniture and graphic designers. Address Lime Wharf, Vyner Street, London, E2 9DJ Contact Ab Rogers Twitter @AbRogersDesign Instagram abrogersdesign",16,20 - 125,[]
https://architectdirectory.co.uk/practice/abbott-architects,Abbott Architects,https://www.abbottarchitecture.co.uk/index.html,"[""https://instagram.com/abbott_architecture""]",rob@abbottarchitecture.co.uk,"Hatrack Building, 144 St Vincent St, Glasgow, G2 5LQ",Rob Abbott,"Domestic and commercial property owners need to continually upgrade their homes, business properties and site assets to increase value, improve energy efficiency, accessibly and future sustainability. Prior to carrying out site development or building improvements, property owners and users will require professional advice and guidance through the often complex planning, building regulation and construction stages. Abbott Architecture are here to offer expertise. Address Hatrack Building, 144 St Vincent St, Glasgow, G2 5LQ Contact Rob Abbott Instagram abbott_architecture",5,0 - 4,[]
